merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,mcc_valid,settlement_account_valid,declared_avg_ticket_size_invalid_flag,declared_avg_ticket_size_parse_failure_flag,onboarding_date_parse_failure_flag,merchant_status_unmapped_flag
MCH2749,issac and sons,5912,MEDICAL_STORE,SOLE_PROPRIETOR,MUMBAI,MAHARASHTRA,,1616970087,ACTIVE,,True,True,False,False,True,False
MCH5089,Korpal-Parmer,05311,RETAIL,PRIVATE_LIMITED,JAIPUR,RAJASTHAN,2024-06-14 00:00:00,,ACTIVE,3730.0,False,False,False,False,False,False
MCH5112,nigam-chawla,4131,TRANSPORTATION,PRIVATE_LIMITED,CHENNAI,TAMIL_NADU,,,INACTIVE,353.3,True,False,False,False,True,False
MCH9951,Natt Group,5912,PHARMACIES,PARTNERSHIP,MADRAS,TAMIL_NADU,2024-02-05 00:00:00,TSMH8783182679043,ACTIVE,1765.37,True,True,False,False,False,False
MCH4962,venkataraman-mannan,5942,BOOKS,PRIVATE_LIMITED,CHENNAI,TAMIL_NADU,2025-07-15 06:02:14,8238766790,ACTIVE,266.61,True,True,False,False,False,False
MCH1541,Bhattacharyya-Hans,7011,HOTELS,PRIVATE_LIMITED,KOLKATA,WEST_BENGAL,2024-03-24 00:00:00,XXXX2848,ACTIVE,621.01,True,False,False,False,False,False
MCH3442,Kuruvilla Ltd,5411,GROCERY,PARTNERSHIP,HYD,TELANGANA,,,INACTIVE,1281.68,True,False,False,False,True,False
MCH9993,Chadha-Tailor,5942,BOOK_STORE,PRIVATE_LIMITED,LUDHIANA,PUNJAB,2026-01-05 00:00:00,,INACTIVE,2368.65,True,False,False,False,False,False
MCH8365,Som-Dhar,5999,MISC_RETAIL,INDIVIDUAL,PUNE,MAHARASHTRA,2025-08-30 00:00:00,,ACTIVE,269.48,True,False,False,False,False,False
MCH2536,Divan-Radhakrishnan,4131,TRANSPRT,PRIVATE_LIMITED,POONA,MAHARASHTRA,2025-07-09 00:00:00,NWSY9894058484946,ACTIVE,,True,True,False,False,False,False
MCH6777,LALL-DATE,5411,GROCERIES,PARTNERSHIP,LKO,UTTAR_PRADESH,2023-12-20 14:05:11,XXXX6676,ACTIVE,1143.87,True,False,False,False,False,False
MCH8152,chaudhari plc,5912,PHARMACY,SOLE_PROPRIETOR,JALANDHAR,PUNJAB,2023-07-24 20:56:00,,ACTIVE,1648.01,True,False,False,False,False,False
MCH2665,"Arora, Bir and Mahal",5311,RETAIL,SOLE_PROPRIETOR,LKO,UTTAR_PRADESH,2024-11-15 20:23:00,3459659161,INACTIVE,2101.74,True,True,False,False,False,False
MCH1384,THAKUR-BEN,4814,TELECOM,INDIVIDUAL,HYDERABAD,TELANGANA,2023-11-04 00:00:00,,ACTIVE,1433.16,True,False,False,False,False,False
MCH4729,parmer-kulkarni,5311,DEPT_STORE,INDIVIDUAL,BANGALORE,KARNATAKA,,,ACTIVE,1384.93,True,False,False,False,True,False
MCH6326,"Barad,MurtyandTella",5942,BOOKS_STATIONERY,PRIVATE_LIMITED,CHENNAI,TAMIL_NADU,2024-06-22 18:08:00,LQXK9607455160094,ACTIVE,,True,True,True,False,False,False
MCH5563,"Dubey, Wali and Yadav",,GARMENTS,SOLE_PROPRIETOR,KOLKATA,WEST_BENGAL,2024-01-28 00:00:00,5163059320,ACTIVE,2198.0,False,True,False,False,False,False
MCH3063,Bansal Inc,04131,TRANSPORT,INDIVIDUAL,JPR,RAJASTHAN,2025-07-02 00:00:00,,INACTIVE,282.67,False,False,False,False,False,False
MCH7974,"Verma, Koshy and Bhardwaj",5411,GROCERY_STORE,INDIVIDUAL,JAIPUR,RAJASTHAN,2023-10-04 00:00:00,7985944544,ACTIVE,460.5,True,True,False,False,False,False
MCH5575,Sandal LLC,5411,KIRANA,PARTNERSHIP,CHENNAI,TAMIL_NADU,2024-02-13 00:00:00,XXXX5528,ACTIVE,5255.72,True,False,False,False,False,False
MCH7433,"Sahota, Desai and Sarma",5999,MISC_RETAIL,INDIVIDUAL,PUNE,MAHARASHTRA,2024-02-24 00:00:00,,ACTIVE,867.14,True,False,False,False,False,False
MCH1454,WableInc,5999,MISC_RETAIL,INDIVIDUAL,LUCKNOW,UTTAR_PRADESH,2025-06-18 00:00:00,7787448001,ACTIVE,2617.0,True,True,False,False,False,False
MCH1331,"Garg, Bobal and Jain",4131,TRAVEL,INDIVIDUAL,CALCUTTA,WEST_BENGAL,2024-06-29 00:00:00,,ACTIVE,3720.61,True,False,False,False,False,False
MCH1168,Sekhon Inc,5411,GROCERY,SOLE_PROPRIETOR,HYD,TELANGANA,2025-07-26 21:06:00,,ACTIVE,6003.0,True,False,False,False,False,False
MCH5283,"Verma, Narasimhan and Balan",,PHARMACIES,INDIVIDUAL,DELHI,DELHI,2026-02-05 00:00:00,,INACTIVE,1266.0,False,False,False,False,False,False
MCH2698,KalaLLC,7011,HOTEL_LODGING,INDIVIDUAL,LUCKNOW,UTTAR_PRADESH,2023-08-19 00:00:00,YXNF3515433387898,INACTIVE,3590.19,True,True,False,False,False,False
MCH6451,Chandran Group,5311,DEPARTMENT_STORE,INDIVIDUAL,JALANDAR,PUNJAB,2025-10-07 00:00:00,5694147499,INACTIVE,165.95,True,True,False,False,False,False
MCH2255,Lal Ltd,5311,DEPARTMENT_STORES,INDIVIDUAL,JPR,RAJASTHAN,2023-05-29 00:00:00,6674150314,ACTIVE,1404.67,True,True,False,False,False,False
MCH7312,Ramakrishnan-Banerjee,5311,RETAIL,SOLE_PROPRIETOR,MUMBAI,MAHARASHTRA,2024-02-24 11:03:00,CCCL8077324997121,ACTIVE,977.96,True,True,False,False,False,False
MCH8549,"Amb1e, Sangha and C0mar",4814,TELECOM,INDIVIDUAL,LUDHIANA,PUNJAB,2026-01-12 00:00:00,XXXX7799,ACTIVE,1130.69,True,False,False,False,False,False
MCH9784,lal ltd,05812,EATING_PLACE,PARTNERSHIP,MADRAS,TAMIL_NADU,2024-12-28 05:21:00,XXXX3001,ACTIVE,1442.84,False,False,False,False,False,False
MCH5395,"Dada, Jani and Kaul",5942,STATIONERY,PARTNERSHIP,MADRAS,TAMIL_NADU,2025-03-06 00:00:00,,ACTIVE,,True,False,True,False,False,False
MCH6067,Chaw1a-Gangu1y,UNKNOWN,HOSPITALITY,SOLE_PROPRIETOR,MUMBAI,MAHARASHTRA,2025-12-03 00:00:00,FNQE1460028710860,INACTIVE,700.95,False,True,False,False,False,False
MCH4786,EDWIN PLC,5699,CLOTHING,INDIVIDUAL,LUDHIANA,PUNJAB,2024-12-15 00:00:00,4903394968,ACTIVE,3435.22,True,True,False,False,False,False
MCH3559,Chokshi Inc,5812,FOOD,PRIVATE_LIMITED,BENGALURU,KARNATAKA,2024-12-23 00:00:00,XXXX5330,SUSPENDED,,True,False,True,False,False,False
MCH3955,"Swamy, Dhingra and Sheth",5311,DEPARTMENT_STORES,INDIVIDUAL,CHENNAI,TAMIL_NADU,2024-11-25 00:00:00,,SUSPENDED,508.0,True,False,False,False,False,False
MCH3558,"Bhattacharyya, Mahal and Setty",4131,TRANSPRT,PARTNERSHIP,JAIPUR,RAJASTHAN,2023-07-28 00:00:00,7325110455,ACTIVE,4448.97,True,True,False,False,False,False
MCH2879,"Pillay, Vora and Karnik",5812,RESTAURANT,INDIVIDUAL,LDH,PUNJAB,2024-05-20 19:55:26,9486638654,ACTIVE,,True,True,False,False,False,False
MCH3340,VARTY-CHOKSHI,5999,MISCELLANEOUS,PARTNERSHIP,CHENNAI,TAMIL_NADU,2023-04-07 03:02:50,,ACTIVE,311.76,True,False,False,False,False,False
MCH6403,"Sahni, Kapur and Ganesh",,CLOTHS,PRIVATE_LIMITED,MADRAS,TAMIL_NADU,2024-05-30 00:00:00,,ACTIVE,344.49,False,False,False,False,False,False
MCH3455,Singhal LLC,05311,DEPARTMENT_STORE,INDIVIDUAL,JALANDAR,PUNJAB,,,ACTIVE,11222.95,False,False,False,False,True,False
MCH8578,Bhatt LLC,4131,TRANSPRT,SOLE_PROPRIETOR,POONA,MAHARASHTRA,2023-08-26 23:42:00,QYMF1422119480722,INACTIVE,2462.04,True,True,False,False,False,False
MCH4277,Chaudhry-Karpe,4131,TRANSPORTATION,PRIVATE_LIMITED,LUDHIANA,PUNJAB,2023-11-09 07:01:01,,ACTIVE,,True,False,True,False,False,False
MCH8716,"Naik, Chada and Divan",5999,OTHER,PRIVATE_LIMITED,LDH,PUNJAB,2023-01-11 00:00:00,EDPS0799008597487,ACTIVE,225.43,True,True,False,False,False,False
MCH9697,Walla Ltd,,TELECOM,INDIVIDUAL,BANGALORE,KARNATAKA,2025-07-21 00:00:00,,ACTIVE,1081.86,False,False,False,False,False,False
MCH1170,"Wali, Bala and Sanghvi",05311,DEPARTMENT_STORE,SOLE_PROPRIETOR,BLR,KARNATAKA,,,INACTIVE,1109.65,False,False,False,False,True,False
MCH8705,"Sahota, Kale and Patil",4131,TRANSPRT,PRIVATE_LIMITED,DELHI,DELHI,2024-11-10 00:00:00,XXXX9019,ACTIVE,1127.21,True,False,False,False,False,False
MCH6875,BUCH LTD,5912,CHEMIST,INDIVIDUAL,LKO,UTTAR_PRADESH,,,ACTIVE,2704.27,True,False,False,False,True,False
MCH5146,Wadhwa-Swamy,05311,DEPARTMENT_STORES,PARTNERSHIP,JALANDHAR,PUNJAB,,,ACTIVE,,False,False,False,False,True,False
MCH7239,Tata-Hayer,7011,HOTEL,INDIVIDUAL,MADRAS,TAMIL_NADU,2025-06-09 00:00:00,MPZF9929757844428,ACTIVE,1929.61,True,True,False,False,False,False
MCH7925,BADAMI GROUP,7011,HOTEL_LODGING,SOLE_PROPRIETOR,HYDERABAD,TELANGANA,2023-07-01 00:00:00,IVGP0940394312057,ACTIVE,,True,True,False,False,False,False
MCH3625,Lall Inc,5699,FASHION,INDIVIDUAL,KOLKATA,WEST_BENGAL,2023-07-16 00:00:00,8363629876,INACTIVE,691.1,True,True,False,False,False,False
MCH6999,srinivasan-agate,5812,EATING_PLACE,PARTNERSHIP,HYD,TELANGANA,2023-02-22 17:51:00,,ACTIVE,1015.19,True,False,False,False,False,False
MCH9868,"Bedi, Konda and Kant",5912,MEDICAL_STORE,INDIVIDUAL,JAIPUR,RAJASTHAN,,XXXX9285,ACTIVE,444.97,True,False,False,False,True,False
MCH5356,"Solanki, Kala and Loke",4814,MOBILE_RECHARGE,PARTNERSHIP,HYDERABAD,TELANGANA,,TUAH3044152488223,ACTIVE,,True,True,True,False,True,False
MCH3953,"Ray, Minhas and Yohannan",5411,GROCERY_STORES,SOLE_PROPRIETOR,KOLKATA,WEST_BENGAL,2023-03-18 00:00:00,XXXX6303,ACTIVE,8126.93,True,False,False,False,False,False
MCH3697,Cherian LLC,7011,HOTEL,INDIVIDUAL,MADRAS,TAMIL_NADU,,,ACTIVE,2525.65,True,False,False,False,True,False
MCH6046,"Palla, Yadav and Bhatnagar",5999,OTHER,INDIVIDUAL,BENGALURU,KARNATAKA,2024-03-27 20:41:48,,ACTIVE,2396.76,True,False,False,False,False,False
MCH7759,"SANKARAN, PATEL AND NARAIN",5699,APPAREL,SOLE_PROPRIETOR,KOLKATA,WEST_BENGAL,2025-10-15 13:32:26,EADV1032511266518,ACTIVE,,True,True,False,False,False,False
MCH5657,Natt-Goel,5999,MISCELLANEOUS,INDIVIDUAL,DILLI,DELHI,,,ACTIVE,1355.0,True,False,False,False,False,False
MCH2432,Parmar-Parmer,4131,TRANSPORTATION,INDIVIDUAL,CALCUTTA,WEST_BENGAL,,,ACTIVE,2557.63,True,False,False,False,False,False
MCH5705,MUKHOPADHYAY AND SONS,5699,APPAREL,SOLE_PROPRIETOR,JALANDHAR,PUNJAB,2025-02-25 00:00:00,,ACTIVE,716.31,True,False,False,False,False,False
MCH1358,"CHAUDRY, BARAL AND MODI",4131,TRANSPORTATION,INDIVIDUAL,LUDHIANA,PUNJAB,,3312553110,ACTIVE,2115.38,True,True,False,False,True,False
MCH7337,NATH-NARAYAN,5699,CLOTHS,INDIVIDUAL,HYD,TELANGANA,2024-07-28 00:00:00,,ACTIVE,3029.85,True,False,False,False,False,False
MCH9319,LadInc,5699,GARMENTS,SOLE_PROPRIETOR,JALANDHAR,PUNJAB,2025-07-20 00:00:00,XXXX7774,ACTIVE,839.54,True,False,False,False,False,False
MCH5354,Khatri-De0,05942,BOOK_STORE,PARTNERSHIP,JALANDAR,PUNJAB,,WCZU4810286661084,ACTIVE,,False,True,False,False,False,False
MCH6329,Srinivas-Banerjee,,MEDICAL_STORE,INDIVIDUAL,KOLKATA,WEST_BENGAL,2024-05-12 00:00:00,XXXX2718,ACTIVE,199.46,False,False,False,False,False,False
MCH3206,Ahuja-Din,5311,RETAIL,SOLE_PROPRIETOR,HYDERABAD,TELANGANA,2026-01-11 13:50:54,XXXX4117,ACTIVE,1244.0,True,False,False,False,False,False
MCH5632,Tandon Ltd,05311,DEPT_STORE,SOLE_PROPRIETOR,BANGALORE,KARNATAKA,2025-05-29 12:56:08,,ACTIVE,270.52,False,False,False,False,False,False
MCH8355,"Virk, Sarna and Sangha",5812,RESTAURANTS,INDIVIDUAL,MUMBAI,MAHARASHTRA,,0702210119,ACTIVE,3279.0,True,True,False,False,True,False
MCH3281,Ranganathan and Sons,5311,RETAIL,PARTNERSHIP,KOLKATA,WEST_BENGAL,2024-03-01 00:00:00,XXXX9655,ACTIVE,,True,False,True,False,False,False
MCH2978,Deshpande LLC,7011,HOSPITALITY,PRIVATE_LIMITED,LUCKNOW,UTTAR_PRADESH,2023-02-01 23:57:31,XXXX0228,ACTIVE,194.6,True,False,False,False,False,False
MCH3399,Rana-Talwar,5912,MEDICAL_STORE,PRIVATE_LIMITED,MUMBAI,MAHARASHTRA,2024-03-30 09:48:22,6585786984,ACTIVE,575.9,True,True,False,False,False,False
MCH7219,Dhawan-Saha,7011,HOTEL_LODGING,INDIVIDUAL,DILLI,DELHI,,HJFW5603026154965,INACTIVE,2354.94,True,True,False,False,True,False
MCH3757,Chokshi PLC,04814,TELECOM,PRIVATE_LIMITED,JAIPUR,RAJASTHAN,2025-10-23 10:04:00,KUIQ2748561079701,ACTIVE,2492.69,False,True,False,False,False,False
MCH1214,Padmanabhan Gr0up,4814,TELECOM,INDIVIDUAL,AMRITSAR,PUNJAB,2025-08-24 00:00:00,,ACTIVE,,True,False,True,False,False,False
MCH2249,Bahri-Nagarajan,7011,HOTEL_LODGING,SOLE_PROPRIETOR,LUDHIANA,PUNJAB,2024-11-17 00:00:00,0364290572,ACTIVE,590.8,True,True,False,False,False,False
MCH9098,Manda and Sons,05812,RESTAURANTS,PARTNERSHIP,BENGALURU,KARNATAKA,2024-03-03 16:14:27,XXXX2826,ACTIVE,870.0,False,False,False,False,False,False
MCH7932,SETHI LTD,4814,TELECOM,PRIVATE_LIMITED,BENGALURU,KARNATAKA,2025-04-20 22:28:00,AUYT1495828220876,ACTIVE,4410.18,True,True,False,False,False,False
MCH1216,"Agarwal, Dave and Vala",7011,HOTELS,SOLE_PROPRIETOR,CHENNAI,TAMIL_NADU,2024-10-18 00:00:00,,ACTIVE,2228.42,True,False,False,False,False,False
MCH3497,"Gokhale, Parmer and Contractor",,TRANSPORT,INDIVIDUAL,JALANDHAR,PUNJAB,2023-11-03 21:39:51,,ACTIVE,,False,False,True,False,False,False
MCH8517,"Bandi, Bir and Buch",5912,CHEMIST,INDIVIDUAL,DILLI,DELHI,2025-05-12 00:00:00,XXXX8958,ACTIVE,2544.34,True,False,False,False,False,False
MCH3567,Kala Ltd,4814,TELECOM,SOLE_PROPRIETOR,AMRITSAR,PUNJAB,2023-05-15 00:00:00,0120134197,ACTIVE,1794.62,True,True,False,False,False,False
MCH6890,Pandit-Narasimhan,7011,HOTEL,PRIVATE_LIMITED,CALCUTTA,WEST_BENGAL,2024-04-21 00:00:00,XXXX8046,INACTIVE,525.87,True,False,False,False,False,False
MCH6632,"Om, Mall and Sandhu",UNKNOWN,BUS_TAXI,PARTNERSHIP,LUCKNOW,UTTAR_PRADESH,2023-07-28 00:00:00,XXXX3092,SUSPENDED,996.13,False,False,False,False,False,False
MCH7269,La11-Raman,4814,TELECOM,PRIVATE_LIMITED,LKO,UTTAR_PRADESH,2023-10-25 09:50:57,4846136502,ACTIVE,1031.92,True,True,False,False,False,False
MCH4180,Dave-Oza,,BOOKS_STATIONERY,SOLE_PROPRIETOR,DELHI,DELHI,2024-01-08 00:00:00,,ACTIVE,394.99,False,False,False,False,False,False
MCH1492,"PANCHAL, BAIL AND NADKARNI",05912,MEDICAL,SOLE_PROPRIETOR,JAIPUR,RAJASTHAN,2024-07-05 00:00:00,,SUSPENDED,6674.02,False,False,False,False,False,False
MCH5210,NATARAJAN LLC,4131,TRANSPRT,PARTNERSHIP,LUCKNOW,UTTAR_PRADESH,2023-08-25 00:00:00,,ACTIVE,2522.68,True,False,False,False,False,False
MCH6115,Padmanabhan-Chahal,MISC,RETAIL,PRIVATE_LIMITED,BOMBAY,MAHARASHTRA,,XXXX5769,INACTIVE,266.65,False,False,False,False,True,False
MCH5950,Dey-Raj,5999,RETAIL_OTHER,SOLE_PROPRIETOR,AMRITSAR,PUNJAB,2025-11-29 00:00:00,0371217445,ACTIVE,,True,True,True,False,False,False
MCH3556,Andra-Nagar,5999,MISC_RETAIL,SOLE_PROPRIETOR,PUNE,MAHARASHTRA,2025-05-04 18:43:19,,ACTIVE,1107.13,True,False,False,False,False,False
MCH4842,Pa11a LLC,5942,STATIONERY,INDIVIDUAL,CALCUTTA,WEST_BENGAL,2024-12-19 00:00:00,XXXX0707,ACTIVE,3127.0,True,False,False,False,False,False
MCH6831,"Kothari, De and Arora",5999,RETAIL_OTHER,INDIVIDUAL,KOLKATA,WEST_BENGAL,2025-11-17 16:43:00,FVLK6104664273261,SUSPENDED,,True,True,False,False,False,False
MCH2922,Chhabra-Jha,5999,RETAIL_OTHER,SOLE_PROPRIETOR,BOMBAY,MAHARASHTRA,2024-10-10 00:00:00,FAIS4263479017973,ACTIVE,,True,True,True,False,False,False
MCH8509,"Majumdar, Deshpande and Solanki",5311,DEPT_STORE,PARTNERSHIP,BLR,KARNATAKA,2024-09-17 00:00:00,XXXX5135,INACTIVE,,True,False,True,False,False,False
MCH3604,"Shetty, Bali and Sama",5411,GROCERIES,PARTNERSHIP,LUDHIANA,PUNJAB,2023-01-04 01:07:44,IQHJ3383226507557,ACTIVE,394.0,True,True,False,False,False,False
MCH9785,Nagarajan PLC,5699,CLOTHS,INDIVIDUAL,MUMBAI,MAHARASHTRA,,,ACTIVE,2709.78,True,False,False,False,True,False
MCH1447,"Dara, Om and Chaudhry",5699,GARMENTS,PRIVATE_LIMITED,BANGALORE,KARNATAKA,2023-04-29 00:00:00,NJHB3866390601882,INACTIVE,373.0,True,True,False,False,False,False
MCH7659,"Pandya, Bakshi and Chaudhary",4131,TRANSPORT,PRIVATE_LIMITED,MADRAS,TAMIL_NADU,2023-04-16 18:19:00,FNTE9764699509957,ACTIVE,1564.19,True,True,False,False,False,False
MCH1600,"warrior, anand and kata",5311,DEPARTMENT_STORE,INDIVIDUAL,CHENNAI,TAMIL_NADU,,DNAN6947992423478,ACTIVE,2937.03,True,True,False,False,True,False
MCH8561,Mahal-Talwar,5912,CHEMIST,INDIVIDUAL,POONA,MAHARASHTRA,2024-11-21 00:00:00,XXXX1106,ACTIVE,892.64,True,False,False,False,False,False
MCH4029,Kuruvilla and Sons,5411,GROCERY_STORES,PRIVATE_LIMITED,PUNE,MAHARASHTRA,,DGMS6783095939908,ACTIVE,55.43,True,True,False,False,False,False
MCH1392,Johal-Gaba,05912,MEDICAL,PRIVATE_LIMITED,PUNE,MAHARASHTRA,2024-02-20 00:00:00,XXXX9354,INACTIVE,4352.7,False,False,False,False,False,False
MCH4985,HAYRE AND SONS,5942,BOOKS,PARTNERSHIP,LUCKNOW,UTTAR_PRADESH,,PXAE0911368692866,ACTIVE,1981.89,True,True,False,False,True,False
MCH8808,"Kothari, Bansal and Gupta",MISC,STATIONERY,INDIVIDUAL,BLR,KARNATAKA,2025-09-19 01:30:00,9868014892,ACTIVE,380.0,False,True,False,False,False,False
MCH7137,Krishna-Palan,4814,TELECOM,PARTNERSHIP,LUDHIANA,PUNJAB,2025-09-29 00:00:00,GJTY8331565779502,ACTIVE,,True,True,False,False,False,False
MCH2813,"Sha, Bhatia and Vig",UNKNOWN,DEPT_STORE,INDIVIDUAL,CHENNAI,TAMIL_NADU,2024-10-24 13:37:28,5399147177,ACTIVE,3821.16,False,True,False,False,False,False
MCH1375,Golla and Sons,5912,MEDICAL,PARTNERSHIP,BENGALURU,KARNATAKA,,,ACTIVE,503.66,True,False,False,False,True,False
MCH2074,D’Alia Inc,05699,FASHION,PARTNERSHIP,JAIPUR,RAJASTHAN,2025-10-22 19:54:55,VRCT7941741947399,ACTIVE,1616.2,False,True,False,False,False,False
MCH1256,Vala Inc,05912,MEDICAL_STORE,SOLE_PROPRIETOR,KOLKATA,WEST_BENGAL,2025-01-17 00:00:00,,SUSPENDED,1415.24,False,False,False,False,False,False
MCH8440,"Chacko, Natarajan and Menon",5999,OTHER,INDIVIDUAL,MUMBAI,MAHARASHTRA,2025-01-19 00:00:00,,ACTIVE,775.41,True,False,False,False,False,False
MCH3060,Deep-Tata,5311,DEPT_STORE,INDIVIDUAL,ASR,PUNJAB,2023-04-17 00:00:00,,ACTIVE,,True,False,True,False,False,False
MCH4025,Hegde-Sule,5311,RETAIL,INDIVIDUAL,HYDERABAD,TELANGANA,,XXXX6804,INACTIVE,1108.29,True,False,False,False,False,False
MCH6970,CHOPRA-LOKE,5311,DEPARTMENT_STORE,PARTNERSHIP,JPR,RAJASTHAN,2025-02-13 00:00:00,,ACTIVE,564.18,True,False,False,False,False,False
MCH2850,Reddy-Kara,4131,BUS_TAXI,PRIVATE_LIMITED,JAIPUR,RAJASTHAN,2024-04-22 00:00:00,XXXX7186,ACTIVE,,True,False,True,False,False,False
MCH5117,"Parikh, Sengupta and Chander",7011,HOTEL,PARTNERSHIP,CHENNAI,TAMIL_NADU,2023-01-26 23:39:00,,SUSPENDED,266.62,True,False,False,False,False,False
MCH6651,"Mahajan, Vig and Balakrishnan",5411,GROCERIES,PARTNERSHIP,DELHI,DELHI,2023-02-17 00:00:00,ZZEW6214809734757,ACTIVE,1407.45,True,True,False,False,False,False
MCH6206,"Johal, Verma and Sane",5812,EATING_PLACE,PRIVATE_LIMITED,JALANDHAR,PUNJAB,2024-04-26 14:53:55,,ACTIVE,,True,False,True,False,False,False
