user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,pan_valid,aadhaar_valid,monthly_income_invalid_flag,monthly_income_parse_failure_flag,date_of_birth_parse_failure_flag,signup_timestamp_parse_failure_flag,kyc_status_unmapped_flag,risk_segment_unmapped_flag,age_years,age_invalid_flag,is_kyc_rejected,is_kyc_pending,is_high_kyc_risk,is_high_income_profile
USR72012,LIAM VARKEY,CNIVL5277X,0556,2004-08-25 00:00:00,MUMBAI,MAHARASHTRA,,SALARIED,2025-09-08 15:25:17,PENDING,LOW,True,False,True,False,False,False,False,False,22,False,False,True,False,
USR65078,ANAMIKA CHAUDHARY,EYKUP2541J,871855606283,,JPR,RAJASTHAN,16714.0,FREELANCER,,VERIFIED,LOW,True,True,False,False,True,True,False,False,,False,False,False,False,False
USR37121,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29 00:00:00,BLR,KARNATAKA,31824.0,SELF_EMPLOYED,2025-02-16 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,43,False,False,False,False,False
USR64308,Vedant Lalla,,843937681323,1990-02-13 00:00:00,CALCUTTA,WEST_BENGAL,10907.0,RETIRED,2026-03-08 00:00:00,VERIFIED,MEDIUM,False,True,False,False,False,False,False,False,36,False,False,False,False,False
USR13880,Krisha Borra,YWBSY7212H,,2003-09-23 00:00:00,HYDERABAD,TELANGANA,21188.0,FARMER,2024-06-29 05:51:04,VERIFIED,LOW,True,False,False,False,False,False,False,False,22,False,False,False,False,False
USR56830,Ekapad Dalal,FPHDL6481K,744698471442,1960-12-23 00:00:00,JAIPUR,RAJASTHAN,22808.0,BUSINESS_OWNER,2024-12-05 18:28:30,VERIFIED,HIGH,True,True,False,False,False,False,False,False,65,False,False,False,True,False
USR95322,Advik Sahota,QEHZG5598Z,738867861215,,CALCUTTA,WEST_BENGAL,35085.0,FARMER,,VERIFIED,HIGH,True,True,False,False,True,True,False,False,,False,False,False,True,False
USR23760,Saksham Dave,XSGLB7836O,982003027776,2003-10-20 16:41:57,LUCKNOW,UTTAR_PRADESH,,GIG_WORKER,2024-04-07 00:00:00,VERIFIED,MEDIUM,True,True,True,False,False,False,False,False,22,False,False,False,False,
USR28092,JACK LANKA,VANEO2162B,995050559108,1990-09-14 00:00:00,DILLI,DELHI,47900.0,FREELANCER,2024-12-27 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,36,False,False,False,False,False
USR41268,Onkar Ratta,MTPRE0507U,095974642287,2006-08-28 00:00:00,JALANDAR,PUNJAB,35166.0,RETIRED,,PENDING,LOW,True,True,False,False,False,True,False,False,20,False,False,True,False,False
USR61809,Arjun Chander,JAWRM6042P,432985168205,,LUCKNOW,UTTAR_PRADESH,13796.0,FREELANCER,2025-07-31 01:04:55,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR86464,Tanay Sinha,HCUCZ8229X,446687716426,1985-12-29 21:02:19,LDH,PUNJAB,12686.0,BUSINESS_OWNER,2026-01-05 00:00:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,40,False,False,False,False,False
USR29929,Yamini Kade,BZKKN4437J,025396904187,1978-02-20 00:00:00,LUCKNOW,UTTAR_PRADESH,,BUSINESS_OWNER,2025-09-16 00:00:00,PENDING,LOW,True,True,True,False,False,False,False,False,48,False,False,True,False,
USR75086,Caleb Mammen,JVXFL4848V,560545067480,2003-08-30 00:00:00,LDH,PUNJAB,47.6,FARMER,,PENDING,UNKNOWN,True,True,False,False,False,True,False,False,23,False,False,True,False,False
USR78743,AtharvLall,GUHZF2370F,982856210452,1970-04-22 00:00:00,JAIPUR,RAJASTHAN,18539.0,SELF_EMPLOYED,2024-12-24 00:00:00,PENDING,LOW,True,True,False,False,False,False,False,False,56,False,False,True,False,False
USR59316,Prisha Chander,XHBKR5403M,534910368969,1994-02-03 00:00:00,LUDHIANA,PUNJAB,13.3,UNEMPLOYED,,VERIFIED,LOW,True,True,False,False,False,True,False,False,32,False,False,False,False,False
USR90387,Aarna Devi,TFWBR0265R,,1988-07-02 00:00:00,JPR,RAJASTHAN,24127.0,BUSINESS_OWNER,2025-12-24 00:00:00,VERIFIED,LOW,True,False,False,False,False,False,False,False,38,False,False,False,False,False
USR18776,Pushti Sha,OGVKP1291Y,,,HYD,TELANGANA,,STUDENT,2025-09-05 00:00:00,VERIFIED,LOW,True,False,False,False,True,False,False,False,,False,False,False,False,
USR13953,Mugdha Thaker,GJIRE9459M,851299154050,1997-02-11 00:00:00,AMRITSAR,PUNJAB,23495.0,SELF_EMPLOYED,2025-04-17 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,29,False,False,False,False,False
USR33108,Ekavir Bal,CINIP4289D,866127906399,1979-09-18 10:30:00,BENGALURU,KARNATAKA,,FREELANCER,,VERIFIED,LOW,True,True,True,False,False,True,False,False,46,False,False,False,False,
USR71267,noah wable,WVMOD0360T,497610284249,1964-04-14 17:35:56,BANGALORE,KARNATAKA,20388.0,STUDENT,,VERIFIED,LOW,True,True,False,False,False,True,False,False,62,False,False,False,False,False
USR82470,Owen Nair,DPRST6843S,645578891743,1972-07-30 00:00:00,PUNE,MAHARASHTRA,35891.0,FARMER,2025-06-25 00:00:00,PENDING,MEDIUM,True,True,False,False,False,False,False,False,54,False,False,True,False,False
USR91477,Ojas Kumer,AXMWY7954C,931168320493,,LDH,PUNJAB,28545.0,UNEMPLOYED,2026-03-25 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10 02:43:51,PUNE,MAHARASHTRA,37338.0,STUDENT,,VERIFIED,LOW,True,True,False,False,False,True,False,False,57,False,False,False,False,False
USR23635,Tanmayi Sunder,DRXCQ2579G,796306366826,,LUCKNOW,UTTAR_PRADESH,20317.0,GIG_WORKER,2024-08-08 15:30:14,VERIFIED,MEDIUM,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR63684,Vasana Naidu,FYYYZ4211T,413928195585,,JALANDHAR,PUNJAB,39085.0,FREELANCER,2025-11-30 20:37:22,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR40151,Lipika Pant,ZCYWL1620R,459607504259,2004-11-12 14:21:56,JALANDHAR,PUNJAB,13296.0,STUDENT,,VERIFIED,LOW,True,True,False,False,False,False,False,False,21,False,False,False,False,False
USR60198,Nihal Sunder,GMKIH3940L,167222122123,,BENGALURU,KARNATAKA,39252.0,STUDENT,2025-07-17 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR77081,Ethan Dora,BZDWK4883M,394394089450,,LKO,UTTAR_PRADESH,31508.0,UNEMPLOYED,2024-10-22 10:15:48,VERIFIED,HIGH,True,True,False,False,True,False,False,False,,False,False,False,True,False
USR84077,Neelima Sem,DKNSH2914F,810082123328,1980-12-28 00:00:00,LUDHIANA,PUNJAB,27515.0,SELF_EMPLOYED,2025-06-11 00:00:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,45,False,False,False,False,False
USR59175,Ansh Virk,AMBPC6856J,400683346413,1972-03-27 20:01:00,MUMBAI,MAHARASHTRA,16030.0,STUDENT,2025-02-13 00:00:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,54,False,False,False,False,False
USR64276,Upasna Subramanian,OPVCG1908W,024162763322,,LUCKNOW,UTTAR_PRADESH,19115.0,FARMER,2025-03-24 00:00:00,VERIFIED,UNKNOWN,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR64768,Warda Bhasin,DJJZS1635L,137833448545,,MUMBAI,MAHARASHTRA,32936.0,SELF_EMPLOYED,2026-02-22 00:00:00,VERIFIED,UNKNOWN,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR16446,Yagnesh Roy,QPZXB2641,,1997-09-19 00:00:00,CHENNAI,TAMIL_NADU,,SALARIED,2025-08-29 00:00:00,VERIFIED,HIGH,False,False,False,False,False,False,False,False,28,False,False,False,True,
USR22470,Ubika Saraf,GEZXL8319T,385691746808,1985-04-21 00:00:00,BANGALORE,KARNATAKA,12941.0,STUDENT,2024-08-27 07:40:00,REJECTED,MEDIUM,True,True,False,False,False,False,False,False,41,False,True,False,False,False
USR78907,Garima Sangha,NTGKP6262I,3516,1977-09-14 08:11:37,AMRITSAR,PUNJAB,14527.0,SALARIED,,PENDING,LOW,True,False,False,False,False,False,False,False,49,False,False,True,False,False
USR55616,Jasmit Nadkarni,EGCOO2505G,073835878098,,BENGALURU,KARNATAKA,17065.0,RETIRED,2025-08-22 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR11988,Udarsh Khalsa,RWL1L9015J,005370369333,1973-09-08 00:00:00,BANGALORE,KARNATAKA,57849.0,SELF_EMPLOYED,,VERIFIED,LOW,False,True,False,False,False,True,False,False,53,False,False,False,False,False
USR78571,GautamiSanghvi,PXLGX1420K,497306999651,1977-10-18 00:00:00,AMRITSAR,PUNJAB,25062.0,STUDENT,2024-05-20 16:14:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,48,False,False,False,False,False
USR26915,AARNA DESHMUKH,VVYMS8300C,411377608777,2005-09-25 20:20:32,CHENNAI,TAMIL_NADU,,UNEMPLOYED,,VERIFIED,LOW,True,True,True,False,False,True,False,False,20,False,False,False,False,
USR71883,amara oak,OWXKX2821C,619501763518,1995-09-09 15:52:56,BENGALURU,KARNATAKA,22743.0,RETIRED,2025-04-30 00:00:00,REJECTED,MEDIUM,True,True,False,False,False,False,False,False,31,False,True,False,False,False
USR67037,Lucky Konda,CRHRQ9787A,892466941914,1991-12-26 00:00:00,LUCKNOW,UTTAR_PRADESH,18960.0,BUSINESS_OWNER,2024-08-28 09:57:39,VERIFIED,LOW,True,True,False,False,False,False,False,False,34,False,False,False,False,False
USR28669,GEORGE DAR,QLRNP1618Y,2178202165,,MUMBAY,MAHARASHTRA,24646.0,SELF_EMPLOYED,2024-02-10 17:03:22,REJECTED,MEDIUM,True,False,False,False,True,False,False,False,,False,True,False,False,False
USR74087,Qarin Sengupta,TGCGN4731B,507933608333,1987-01-26 00:00:00,ASR,PUNJAB,11942.0,SALARIED,2026-01-15 05:56:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,39,False,False,False,False,False
USR97475,BIMALA RAO,ZWIEO8960X,581975734236,1977-04-08 12:26:05,HYD,TELANGANA,,FARMER,2024-03-26 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,49,False,False,False,False,
USR29005,Wazir Ghose,SVTQR6809M,480853410333,1993-12-19 00:00:00,NEW_DELHI,DELHI,14463.0,STUDENT,2024-03-12 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,32,False,False,False,False,False
USR78059,Vasana Palla,CALNW0586S,754746798970,1991-04-27 00:00:00,MUMBAI,MAHARASHTRA,29828.0,FARMER,2024-11-23 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,35,False,False,False,False,False
USR15644,Anita Balay,VZJON4073W,170203765815,1994-05-12 00:00:00,BLR,KARNATAKA,,UNEMPLOYED,,VERIFIED,MEDIUM,True,True,False,True,False,True,False,False,32,False,False,False,False,
USR53776,Advaith Sur,ORRQC4341P,936833471186,1980-08-16 00:00:00,AMRITSAR,PUNJAB,29723.0,GIG_WORKER,,PENDING,LOW,True,True,False,False,False,True,False,False,46,False,False,True,False,False
USR35738,Nachiket Saini,MPBCY9061Z,292718782869,1982-06-19 02:07:43,LDH,PUNJAB,9263.0,RETIRED,2025-04-24 00:00:00,REJECTED,LOW,True,True,False,False,False,False,False,False,44,False,True,False,False,False
USR30688,Pooja Koshy,YVQMB3903Y,375014980195,,JAIPUR,RAJASTHAN,55299.0,SALARIED,2025-05-12 21:33:30,VERIFIED,LOW,True,True,False,False,False,False,False,False,,False,False,False,False,False
USR43692,Kashvi Bal,XCBFC3495G,022456449188,,HYDERABAD,TELANGANA,26181.0,RETIRED,2024-05-30 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR13931,VRINDA SODHI,JAXKB7158R,232101145647,,JALANDHAR,PUNJAB,13080.0,SALARIED,,VERIFIED,HIGH,True,True,False,False,True,False,False,False,,False,False,False,True,False
USR16890,UnniPurohit,SRFPG7183S,128864682279,1997-12-05 00:00:00,LKO,UTTAR_PRADESH,19516.0,FARMER,,VERIFIED,MEDIUM,True,True,False,False,False,True,False,False,28,False,False,False,False,False
USR60800,benjamin hayre,SKOEK2388A,6470,,JALANDHAR,PUNJAB,,FARMER,2024-03-23 05:13:33,VERIFIED,MEDIUM,True,False,True,False,False,False,False,False,,False,False,False,False,
USR43778,Megha Saran,FBYVC9113B,252595042768,1995-01-26 17:14:51,LDH,PUNJAB,27468.0,STUDENT,2024-08-11 00:00:00,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,31,False,False,False,False,False
USR70695,Darsh Rana,HOHLD1406O,663470616081,1986-05-13 00:00:00,BENGALURU,KARNATAKA,32215.0,BUSINESS_OWNER,2024-06-16 00:00:00,REJECTED,LOW,True,True,False,False,False,False,False,False,40,False,True,False,False,False
USR82121,Maanas Kumar,PHLMO0100D,307093238655,2000-06-15 00:00:00,MUMBAI,MAHARASHTRA,50644.0,STUDENT,2024-04-19 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,26,False,False,False,False,False
USR28535,Laban Sinha,RFMPF5305S,3078,1998-11-28 15:44:00,PUNE,MAHARASHTRA,23001.0,RETIRED,2024-12-31 23:15:38,PENDING,MEDIUM,True,False,False,False,False,False,False,False,27,False,False,True,False,False
USR61312,Manbir Kar,OYDNZ6406F,545126921501,2005-03-19 00:00:00,HYDERABAD,TELANGANA,,FARMER,2025-02-04 00:00:00,REJECTED,LOW,True,True,True,False,False,False,False,False,21,False,True,False,False,
USR17743,Sneha Palan,HXELE7376C,012024085465,1986-09-22 00:00:00,KOLKATA,WEST_BENGAL,30964.0,STUDENT,,VERIFIED,LOW,True,True,False,False,False,True,False,False,39,False,False,False,False,False
USR75869,Triya Sodhi,KUCXN4426K,598523497392,1999-09-16 00:00:00,AMRITSAR,PUNJAB,17400.0,SALARIED,,PENDING,MEDIUM,True,True,False,False,False,True,False,False,26,False,False,True,False,False
USR88971,Aahana Goda,KAPYK2586P,815430708070,1963-08-19 00:00:00,AMRITSAR,PUNJAB,8961.0,STUDENT,2025-03-06 04:52:16,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,63,False,False,False,False,False
USR25394,Urmi Dar,WDKKW7243D,,1983-11-17 00:00:00,PUNE,MAHARASHTRA,39353.0,RETIRED,2025-03-23 00:00:00,VERIFIED,MEDIUM,True,False,False,False,False,False,False,False,42,False,False,False,False,False
USR36110,Bhavya D0shi,ZZLBX3053J,774946361922,1979-07-29 00:00:00,PUNE,MAHARASHTRA,,FREELANCER,2025-11-15 00:00:00,VERIFIED,LOW,True,True,False,True,False,False,False,False,47,False,False,False,False,
USR28927,chandran nori,MIAZT7616U,,,HYD,TELANGANA,34414.0,UNEMPLOYED,2024-11-29 00:00:00,VERIFIED,MEDIUM,True,False,False,False,True,False,False,False,,False,False,False,False,False
USR12524,Yauvani Deep,QGIWK2792H,279292452932,1985-01-24 00:00:00,PUNE,MAHARASHTRA,34793.0,UNEMPLOYED,2024-03-28 12:45:00,PENDING,MEDIUM,True,True,False,False,False,False,False,False,41,False,False,True,False,False
USR87061,Zayyan Parmar,OESTV5644M,421249135042,,BLR,KARNATAKA,34016.0,RETIRED,2024-01-15 00:00:00,REJECTED,LOW,True,True,False,False,True,False,False,False,,False,True,False,False,False
USR70121,Manan Kala,,491734893582,2003-05-16 10:59:20,ASR,PUNJAB,12490.0,GIG_WORKER,,VERIFIED,UNKNOWN,False,True,False,False,False,True,False,False,23,False,False,False,False,False
USR43558,Bhavya Kala,FMZBB8469X,041614978824,2005-04-29 00:00:00,KOLKATA,WEST_BENGAL,,STUDENT,2026-02-25 18:03:00,VERIFIED,UNKNOWN,True,True,True,False,False,False,False,False,21,False,False,False,False,
USR97255,Hardik Varty,IKVCL9739N,018969410775,,BENGALURU,KARNATAKA,,SALARIED,2024-08-23 10:00:42,PENDING,LOW,True,True,False,True,True,False,False,False,,False,False,True,False,
USR41850,Anamika Jayaraman,ZWSDQ5958Z,366997497248,2004-11-19 00:00:00,PUNE,MAHARASHTRA,,UNEMPLOYED,2024-03-27 02:50:53,VERIFIED,LOW,True,True,True,False,False,False,False,False,21,False,False,False,False,
USR61425,Rajata Panchal,FDJQL7637C,252492316041,1987-11-27 00:00:00,ASR,PUNJAB,25830.0,FARMER,2025-02-26 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,38,False,False,False,False,False
USR11654,Shivansh Dhar,VJCFR9167X,9314952508,1986-03-23 00:00:00,LUCKNOW,UTTAR_PRADESH,19879.0,BUSINESS_OWNER,,VERIFIED,LOW,True,False,False,False,False,True,False,False,40,False,False,False,False,False
USR60435,Manan Desai,CZDOZ3023Y,9332847770,1971-11-14 00:00:00,LUCKNOW,UTTAR_PRADESH,13.1,SELF_EMPLOYED,2025-05-20 00:00:00,PENDING,LOW,True,False,False,False,False,False,False,False,54,False,False,True,False,False
USR69566,Pooja Sanghvi,KKXGH7093M,594632399328,,MUMBAI,MAHARASHTRA,40871.0,GIG_WORKER,2024-01-30 20:55:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,,False,False,False,False,False
USR97911,aarush hora,UJAKN1892R,889800106898,1974-09-25 00:00:00,BLR,KARNATAKA,23895.0,FREELANCER,2025-09-17 00:00:00,VERIFIED,LOW,True,True,False,False,False,False,False,False,51,False,False,False,False,False
USR96415,Aadi Batta,JYKPY8685U,801249909011,,BANGALORE,KARNATAKA,16142.0,GIG_WORKER,2024-08-20 00:00:00,VERIFIED,MEDIUM,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR41370,Lajita Mammen,TCFIS9755D,047045008750,1969-05-19 00:00:00,LUDHIANA,PUNJAB,74744.0,FARMER,,VERIFIED,MEDIUM,True,True,False,False,False,True,False,False,57,False,False,False,False,True
USR46200,Bakhshi Sah0ta,WALTW7577C,201060880121,,HYDERABAD,TELANGANA,24694.0,GIG_WORKER,2024-07-26 00:00:00,VERIFIED,LOW,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR30125,Dakshesh Dhaliwal,AFYDX3604O,3180021621456,1993-02-05 00:00:00,JPR,RAJASTHAN,22236.0,BUSINESS_OWNER,,REJECTED,LOW,True,False,False,False,False,False,False,False,33,False,True,False,False,False
USR51640,Hitesh Raj,UCIYS7654M,7526190276,1997-12-27 18:30:00,MUMBAI,MAHARASHTRA,65510.0,BUSINESS_OWNER,2025-05-07 00:00:00,REJECTED,LOW,True,False,False,False,False,False,False,False,28,False,True,False,False,True
USR26148,Tarak Butala,LSMZC5449O,594773990154,,BANGALORE,KARNATAKA,30461.0,SALARIED,,VERIFIED,HIGH,True,True,False,False,True,False,False,False,,False,False,False,True,False
USR72127,Turvi Grover,CQVNW6926I,192610278127,1989-04-19 03:38:20,JAIPUR,RAJASTHAN,15633.0,RETIRED,2024-08-03 00:38:25,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,37,False,False,False,False,False
USR96477,TANVEER NARULA,SDAVW9214Z,097914045328,1972-07-15 16:27:00,CHENNAI,TAMIL_NADU,14759.0,RETIRED,2026-01-27 00:00:00,REJECTED,LOW,True,True,False,False,False,False,False,False,54,False,True,False,False,False
USR18944,Mekhala Golla,UWTIE0098,885036777734,1991-07-25 08:59:00,MADRAS,TAMIL_NADU,26904.0,FARMER,,VERIFIED,LOW,False,True,False,False,False,False,False,False,35,False,False,False,False,False
USR38760,Lajita Dewan,IRKEM1603,604812343829,,KOLKATA,WEST_BENGAL,9392.0,SALARIED,2025-03-22 00:00:00,VERIFIED,LOW,False,True,False,False,True,False,False,False,,False,False,False,False,False
USR35147,Krishna Deo,HWFFO1057B,517870181300,1973-11-24 00:00:00,LDH,PUNJAB,50039.0,SALARIED,,VERIFIED,HIGH,True,True,False,False,False,True,False,False,52,False,False,False,True,False
USR23153,Elijah Golla,RCL1Y8260J,4291,1997-05-23 00:00:00,JALANDAR,PUNJAB,25280.0,SALARIED,2024-08-19 00:00:00,REJECTED,LOW,False,False,False,False,False,False,False,False,29,False,True,False,False,False
USR43985,Elijah Basu,OWYWO4172Z,4334,2001-11-29 04:05:00,JAIPUR,RAJASTHAN,,FARMER,2025-08-19 00:00:00,VERIFIED,MEDIUM,True,False,False,False,False,False,False,False,24,False,False,False,False,
USR13270,Gautam Joshi,KNUKD8690E,,1961-02-02 04:46:15,POONA,MAHARASHTRA,17781.0,SELF_EMPLOYED,,VERIFIED,MEDIUM,True,False,False,False,False,False,False,False,65,False,False,False,False,False
USR87067,Ayaan Bhatt,IYPWZ2082B,073336789186,,BENGALURU,KARNATAKA,32.3,FARMER,2024-12-14 08:31:34,VERIFIED,MEDIUM,True,True,False,False,True,False,False,False,,False,False,False,False,False
USR14736,Harini Keer,SQFFV1099G,900845213060,1969-07-11 00:00:00,MUMBAI,MAHARASHTRA,29346.0,RETIRED,,VERIFIED,MEDIUM,True,True,False,False,False,False,False,False,57,False,False,False,False,False
USR26503,Ranbir Mannan,UCYSG5949W,445635673241,,ASR,PUNJAB,9785.0,FARMER,2025-07-25 13:14:02,PENDING,LOW,True,True,False,False,True,False,False,False,,False,False,True,False,False
USR55516,Yutika Ravi,HCPGG8914B,919840435976,1973-06-03 17:15:44,KOLKATA,WEST_BENGAL,37564.0,UNEMPLOYED,2024-10-30 00:00:00,PENDING,LOW,True,True,False,False,False,False,False,False,53,False,False,True,False,False
